category	alpha_global	alpha_global_se	alpha_global_ci99_low	alpha_global_ci99_high	beta_global_log	beta_global_log_se	beta_global_ci99_low	beta_global_ci99_high	n_genomes_used	r_squared	p_value
map00340	0.5737888224160875	0.01829582700872998	0.526658772041599	0.620918872790576	-2.9713562910404407	0.1515449142031364	-3.36173599002772	-2.5809765920531613	2047	0.32476120841451606	0.0
map00350	0.672805644568529	0.04001072570496029	0.5697380151525513	0.7758732739845067	-5.293266880280052	0.3391198085283117	-6.166839507048984	-4.419694253511121	914	0.23667028186228367	0.0
map00360	0.5417616667034942	0.0485444599890057	0.41671113777181557	0.6668121956351729	-3.8910215811860382	0.4102103448811317	-4.947723429599834	-2.8343197327722427	1009	0.11006878353985772	0.0
map00362	0.7605177929229486	0.05073651207477954	0.6298205378183166	0.8912150480275807	-5.895311377424461	0.43416581477140714	-7.013722516275606	-4.776900238573316	698	0.2440425924426538	0.0
map00380	0.073305286026591	0.02984667498662469	-0.003579748738954197	0.1501903207921362	-0.5780654476144528	0.2502242307947623	-1.2226430661417604	0.06651217091285488	269	0.022093511080958583	0.021488362071085065
map00400	0.3929767674442735	0.017273598552423997	0.3484799775732293	0.43747355731531773	-0.8602491160079575	0.14261826010427525	-1.2276337540365705	-0.49286447797934446	2129	0.19571009774296777	0.0
map00401	0.024809923685901097	0.006270585744878496	0.008656894807094091	0.040962952564708104	-0.19680860101329328	0.05182632550179825	-0.3303132155059256	-0.063303986520661	1034	0.014942271409652652	4.6976670406984056e-05
map00430	0.12702666120164438	0.04651321326713201	0.0072086238255123225	0.24684469857777644	-1.0114997857563603	0.40172025088410834	-2.046331152033823	0.023331580521102735	227	0.03208426627007288	0.008668400525503328
map00440	0.24602808022137362	0.07234893665818078	0.05965721938989993	0.4323989410528473	-1.3714528266454775	0.6137073002369845	-2.9523628320559494	0.2094571787649946	433	0.02612937646466207	0.0006350418572105276
map00450	0.015892165991833386	0.010300894317288667	-0.01064293776950222	0.04242726975316899	-0.11275434995894609	0.08578412926384388	-0.33373426694260794	0.10822556702471575	876	0.0027159624251994474	0.219743922303961
map00460	0.10469311312530992	0.03601840374474184	0.011909705078854929	0.1974765211717649	-0.802807301099692	0.3047504367082035	-1.5878444260600242	-0.017770176139359717	245	0.03359990089650999	0.0046143814251473625
map00470	0.2330748484872532	0.00935189770309146	0.2089843600040896	0.2571653369704168	-0.10487913365817847	0.07711618251078398	-0.30353041980595796	0.09377215248960105	2157	0.22374304961582359	0.0
map00480	0.9104461537419442	0.03292699127142477	0.8256262242267539	0.9952660832571344	-6.42011482035427	0.27378408417215555	-7.125382621181743	-5.714847019526797	1804	0.29788946136680794	0.0
map00500	0.2587455777090422	0.02695794858869888	0.1893019021445539	0.32818925327353055	-1.5384011400704778	0.22270714412856482	-2.112094743345661	-0.9647075367952948	2014	0.04378253327092907	0.0
map00510	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	0.0	
map00513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	0.0	
map00520	0.29453615336577127	0.01415921310574526	0.25806202040537146	0.3310102863261711	-0.18999279168951766	0.11674582237551603	-0.490730030128847	0.11074444674981165	2159	0.1670888646398323	0.0
map00521	0.41781971045415855	0.02523508820135797	0.3528141232474604	0.4828252976608567	-2.1277722647500927	0.20928885822912172	-2.66690036354831	-1.5886441659518753	1898	0.12632257620039478	0.0
map00523	0.2630932732539177	0.025237111679028652	0.19808247356873987	0.3281040729390955	-0.9223683476615685	0.20937062156449654	-1.4617070688117115	-0.38302962651142536	1849	0.055570322797851346	0.0
map00525	0.18009074980608897	0.01842972748600053	0.1326157718021516	0.22756572781002635	-0.739911442337411	0.15289008912965368	-1.1337563119353988	-0.3460665727394231	1816	0.05000670538714569	0.0
map00540	-0.013001214082712924	0.012624205520496989	-0.04552116750351317	0.019518739338087322	0.7901297493145545	0.10454186962676347	0.5208298931560118	1.0594296054730972	1236	0.0008587592588283899	1.4909512540726144
map00541	0.5469415131117943	0.022823677985119962	0.48814771862212525	0.6057353076014633	-2.6455548621038947	0.18824441589169238	-3.130472477440894	-2.1606372467668953	2150	0.21095047154900737	0.0
