category	alpha_global	alpha_global_se	alpha_global_ci99_low	alpha_global_ci99_high	beta_global_log	beta_global_log_se	beta_global_ci99_low	beta_global_ci99_high	n_genomes_used	r_squared	p_value
K00966	0.10575820538002141	0.049420152008004536	-0.021548106192598268	0.23306451695264108	-0.7883298107908397	0.4069921367364895	-1.8367415550240365	0.2600819334423571	211	0.021441757732283406	0.05418163904111695
K00971	0.10575820538002141	0.049420152008004536	-0.021548106192598268	0.23306451695264108	-0.7883298107908397	0.4069921367364895	-1.8367415550240365	0.2600819334423571	211	0.021441757732283406	0.05418163904111695
K00972	0.003115012892321585	0.0027743263455977823	-0.004031651773938302	0.010261677558581473	-0.02210480307087059	0.022922636232871767	-0.08115351400674826	0.03694390786500708	1734	0.0007273454393883494	0.4481741755701254
K00973	0.13807649370470176	0.01580599140453468	0.09736025984662043	0.17879272756278308	-1.0340541867090074	0.13121774037763684	-1.3720710859218	-0.6960372874962149	1697	0.04308249194025848	0.0
K00974	-0.03635062634308381	0.014500827588232394	-0.07370475821037045	0.0010035055242028426	0.31998099707469635	0.11974946020540173	0.011506387585581479	0.6284556065638112	398	0.015620877525140853	1.9816942024903637
K00975	-0.1181575214288453	0.025612247218924904	-0.18413467026479585	-0.052180372592894736	1.2058229993262275	0.2122133244879767	0.6591614754451995	1.7524845232072555	1214	0.017256977131792972	1.9999986946089912
K00978	0.02889727433727002	0.01813069765626155	-0.017807402825259732	0.07560195149979977	-0.21881944459574054	0.15219505412611298	-0.6108739040246076	0.17323501483312648	412	0.006157697526636419	0.1984527637435165
K00980	0.012281267506706297	0.06075196093040196	-0.14421578385000913	0.16877831886342173	-0.0034267874771483353	0.4818805786220407	-1.2447511580075252	1.2378975830532286	155	0.00026702896089136896	0.9743191863439145
K00991	-0.019987243318886537	0.004820682129336371	-0.03240532048405703	-0.007569166153716044	0.17511640685363308	0.04001216660263689	0.07204506568524047	0.2781877480220257	1618	0.01052572355766046	1.9999823331355424
K00995	0.035731991636484384	0.010995578959722047	0.00740738023624039	0.06405660303672837	-0.22389396411175816	0.09074245113709793	-0.45764651824092245	0.009858590017406132	1872	0.005615532814588042	0.001203012369151324
K01003	0.08448496022096026	0.04057220549477003	-0.020029041133567335	0.18899896157548784	-0.5801841774479841	0.33490973392654344	-1.44291165204276	0.2825432971467918	366	0.011772189991627435	0.06326256457250645
K01004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161	0.0	
K01006	0.07258517627870555	0.009929299773566838	0.04700730006199737	0.09816305249541372	-0.5728976168628208	0.08207829357258727	-0.7843313011058056	-0.361463932619836	800	0.06276319860092816	1.7763568394002505e-15
K01007	0.037775323413726296	0.01561272926969983	-0.0024430671850204713	0.07799371401247307	-0.27681310983693375	0.1301971858657912	-0.6122010606272119	0.05857484095334442	844	0.006904585465048796	0.024069165664594383
K01008	0.015892165991833386	0.010300894317288667	-0.01064293776950222	0.04242726975316899	-0.11275434995894609	0.08578412926384388	-0.33373426694260794	0.10822556702471575	876	0.0027159624251994474	0.219743922303961
K01011	0.012463605637400227	0.04251603739285582	-0.09705770668659636	0.12198491796139682	0.02252952184369944	0.3579239881816564	-0.8994826717122475	0.9445417153996463	506	0.00017048149898934994	0.9467602355092066
K01012	0.020116908743475468	0.00727759242466107	0.0013698306575485528	0.03886398682940238	-0.14904717540534054	0.06065272501954899	-0.3052885950556987	0.007194244245017661	1512	0.0050347510082888736	0.007716640294791022
K01057	0.004634403838627861	0.005322073892084727	-0.009075258507382396	0.01834406618463812	-0.03099489282252683	0.04461533918061046	-0.14592400655177937	0.08393422090672571	1294	0.0005865548422595568	0.6170951933934501
K01067	0.1409485950045906	0.029500092422538815	0.0649563569241306	0.21694083308505058	-1.0809102512398776	0.2456278934077784	-1.7136477046583147	-0.44817279782144037	342	0.06291779890018367	4.879823682912843e-07
K01070	0.022607362303560016	0.019986229806789584	-0.028877165678729957	0.07409189028584999	-0.1539250930637585	0.16823717078290848	-0.5873040450005307	0.2794538588730137	733	0.0017472745965906311	0.4428382192235758
K01079	0.011035961656453108	0.004914354759716233	-0.001623416204575909	0.023695339517482122	-0.08448946955969816	0.040944250797003666	-0.18996185961277962	0.02098292049338328	1338	0.0037604919179711205	0.04033798885012363
K01089	0.17196752943174562	0.021384453844011806	0.11688117632957121	0.22705388253392003	-0.9650405615534126	0.17780586757379954	-1.4230684764235202	-0.5070126466833049	1860	0.03363504705676601	0.0
K01091	0.21494604147476765	0.032476593513921605	0.1312863365829056	0.29860574636662973	-1.6969760540593575	0.2716857037029627	-2.3968384267981895	-0.9971136813205256	556	0.07327550829190677	7.744915819785092e-13
K01117	-0.03908120251054813	0.04708907981340232	-0.1603826721098725	0.08222026708877625	0.37950992172273595	0.40646243916255204	-0.667537321559998	1.42655716500547	91	0.007679928875670372	1.355000677095414
K01129	0.014969448318221674	0.012892161202561613	-0.018240758939577037	0.048179655576020386	-0.0828959132847949	0.10727427568161117	-0.35923444744062527	0.19344262087103548	1081	0.0012479476741887874	0.423881109343476
K01230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	0.0	
K01241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	647	0.0	
K01433	0.31384553233567664	0.02490671902994971	0.24968582411452617	0.3780052405568271	-2.4478008749768083	0.20908537568573216	-2.9864048027432544	-1.9091969472103623	1322	0.10737296885549319	0.0
K01439	0.01111415514158782	0.00695767232700177	-0.006808808772768739	0.02903711905594438	-0.07793468366526819	0.058144664980745914	-0.22771534065566967	0.07184597332513327	1270	0.0020083187080417453	0.19702093448149327
K01455	0.10469311312530992	0.03601840374474184	0.011909705078854929	0.1974765211717649	-0.802807301099692	0.3047504367082035	-1.5878444260600242	-0.017770176139359717	245	0.03359990089650999	0.0046143814251473625
K01457	0.08890548569717799	0.02760902115615571	0.01778464719892088	0.1600263241954351	-0.7122044829501625	0.236487719819607	-1.3213968492054702	-0.10301211669485477	378	0.026838135160107468	0.0013584819354006683
K01458	0.10680373486716395	0.03486801445606265	0.01698372962834656	0.19662374010598133	-0.8444878415507933	0.2981747075836298	-1.6125858882862236	-0.0763897948153629	452	0.020424150451211043	0.00254637816711778
K01465	0.1285495323807947	0.020267213067964522	0.0763411915177181	0.1807578732438713	-0.8902617111055092	0.16694551503133895	-1.3203133578262385	-0.46021006438478007	1427	0.027456618795779097	7.535749801945713e-12
K01468	0.0034841968298824004	0.005956001212277578	-0.011858462292944641	0.018826855952709443	-0.02084271333442709	0.050129468791434026	-0.14997622494116114	0.10829079827230698	1148	0.00029852556061771285	0.8042386599971347
K01469	0.3525327018069655	0.04065030736377153	0.24781751003789004	0.45724789357604095	-2.4757289030676746	0.3407853255229461	-3.3535919016147835	-1.5978659045205654	1091	0.06460112970449339	0.0
K01470	0.04213540984547175	0.04352137567693608	-0.06997565389831559	0.15424647358925908	-0.32094676283693513	0.36088375374971987	-1.2505833124962136	0.6086897868223433	74	0.012851073196839202	0.550615643277609
K01477	0.20454839661473304	0.039295041950767155	0.10332436854955684	0.3057724246799092	-1.6422956655031802	0.3389388392538719	-2.5154021154211543	-0.7691892155852061	524	0.04934780046028475	3.223204725344431e-08
K01479	0.05849911486072419	0.03957765981904805	-0.04345293683314359	0.16045116655459196	-0.32439231426026716	0.32672742244452074	-1.1660421544773527	0.5172575259568183	504	0.00433319942006527	0.24886511890270357
K01480	0.3249756816741581	0.035995791947910034	0.23225052161634183	0.4177008417319743	-2.49025718404838	0.30323362898098105	-3.271387012303387	-1.7091273557933726	910	0.08237190574617537	0.0
K01483	0.14841280814212499	0.06048083145964613	-0.00738581369792346	0.30421142998217343	-1.2242737522943015	0.5159976273907902	-2.5534836404529773	0.10493613586437434	51	0.10943961384572154	0.02163530885716014
K01484	0.0011085300465121092	0.02057621586846803	-0.051895802030661534	0.054112862123685754	0.002435031998369707	0.17419685634223103	-0.44629606993921744	0.45116613393595684	352	8.292629786632588e-06	0.9981539524924394
K01491	0.1597503342643313	0.011926458489643138	0.12902777719501057	0.19047289133365203	-1.248962684099761	0.09863521627064602	-1.503047001212945	-0.9948783669865768	1794	0.09100857803175944	0.0
K01495	0.1550547976537718	0.01568672226525835	0.1146458010984663	0.19546379420907734	-1.156731603121214	0.13021797294833493	-1.4921731014361248	-0.8212901048063033	1783	0.05200534384107702	0.0
K01496	0.02002199696907518	0.006430153414484119	0.0034579217733640907	0.03658607216478627	-0.14893251729943555	0.05341870299655403	-0.2865390962185588	-0.011325938380312345	1939	0.004980513008245646	0.002086277207471232
K01497	0.42738376716542714	0.02128773854261761	0.3725465526796442	0.4822209816512101	-3.2902257741438374	0.1770772292574796	-3.746376716711105	-2.83407483157657	1624	0.1990387539710009	0.0
K01498	0.039051612173409085	0.005754428813055678	0.024228203550977656	0.053875020795840514	-0.30811884169790726	0.047564272055175244	-0.4306444065120387	-0.18559327688377583	1889	0.023824805241045133	1.8474111129762605e-13
K01499	0.10482490320909396	0.0660362505865221	-0.06528447830178696	0.2749342847199749	-0.8371259993630634	0.5636752492581466	-2.289153441452049	0.6149014427259222	61	0.040958994926858616	0.2010609229863891
K01501	-0.058632753530054205	0.03240658935283784	-0.1421121277029645	0.024846620642856074	0.5144325817973322	0.27845793548697706	-0.20287506001712075	1.2317402236117851	63	0.05093096417211185	1.875566323257348
K01505	0.02250132175323399	0.02368248455487315	-0.03850475846011925	0.08350740196658724	-0.18163812958735726	0.20672142053974163	-0.7141525088977317	0.35087624972301723	217	0.004181223522904287	0.5628733629774452
K01513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28	0.0	
K01519	-0.004646129998996197	0.002881951204115705	-0.012070036300798254	0.0027777763028058594	0.7348160380703149	0.023974204876560073	0.6730584863082962	0.7965735898323336	1354	0.0019186630465878318	1.8088289946709761
K01520	-0.027785533840350148	0.006169364815695056	-0.043677817605580614	-0.011893250075119682	0.2447799949705558	0.051271857438225286	0.11270369020968746	0.37685629973142415	1662	0.012071850762546243	1.9999975349148018
K01521	-0.029723329188185328	0.08034530966369632	-0.23669284688186706	0.17724618850549642	0.28842034384487225	0.6886468976202882	-1.4855340644249901	2.0623747521147346	41	0.0034969375419372506	1.0834395369746823
K01523	0.029819104501435323	0.00513709444884953	0.016585949201198935	0.04305225980167171	-0.2368793481471121	0.04269220472271026	-0.34685446751281374	-0.12690422878141044	1858	0.01783046139913058	4.833200506482171e-10
K01525	0.00524388947193935	0.0062573740400767965	-0.010875106055298477	0.021362884999177177	-0.04015620850283875	0.05213359565180395	-0.1744523509018857	0.09413993389620823	594	0.0011849123162164243	0.6394810897673644
K01555	0.07730622689817851	0.024370105169175107	0.014528835982383428	0.1400836178139736	-0.6083357376236893	0.2087634410569225	-1.1461103617863215	-0.07056111346105698	576	0.017228786218077885	0.001651439065839977
K01577	0.013644385135114451	0.028794485640884993	-0.0605302098758053	0.0878189801460342	-0.09518752886657056	0.24601926363297977	-0.7289331519851264	0.5385580942519853	117	0.0019486969912704266	0.8668016153005125
