category	name	definition
K01899	succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]	
K01900	succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]	
K01902	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	
K01903	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	
K01904	4-coumarate--CoA ligase [EC:6.2.1.12]	
K01906	6-carboxyhexanoate--CoA ligase [EC:6.2.1.14]	
K01907	acetoacetyl-CoA synthetase [EC:6.2.1.16]	
K01910	[citrate (pro-3S)-lyase] ligase [EC:6.2.1.22]	
K01911	o-succinylbenzoate---CoA ligase [EC:6.2.1.26]	
K01912	phenylacetate-CoA ligase [EC:6.2.1.30]	
K01915	glutamine synthetase [EC:6.3.1.2]	
K01919	glutamate--cysteine ligase [EC:6.3.2.2]	
K01920	glutathione synthase [EC:6.3.2.3]	
K01921	D-alanine-D-alanine ligase [EC:6.3.2.4]	
K01923	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	
K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	
K01925	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	
K01928	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	
K01933	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	
K01934	5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	
K01935	dethiobiotin synthetase [EC:6.3.3.3]	
K01939	adenylosuccinate synthase [EC:6.3.4.4]	
K01941	urea carboxylase [EC:6.3.4.6]	
K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	
K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	
K01958	pyruvate carboxylase [EC:6.4.1.1]	
K01959	pyruvate carboxylase subunit A [EC:6.4.1.1]	
K01960	pyruvate carboxylase subunit B [EC:6.4.1.1]	
K02164	nitric oxide reductase NorE protein	
K02201	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	
K02203	phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]	
K02204	homoserine kinase type II [EC:2.7.1.39]	
K02226	alpha-ribazole phosphatase [EC:3.1.3.73]	
K02228	precorrin-6A synthase [EC:2.1.1.152]	
K02230	cobaltochelatase CobN [EC:6.6.1.2]	
K02231	adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]	
K02232	adenosylcobyric acid synthase [EC:6.3.5.10]	
K02302	uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]	
K02304	precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]	
K02305	nitric oxide reductase subunit C	
K02318	phosphopantetheine adenylyltransferase / dephospho-CoA kinase [EC:2.7.7.3 2.7.1.24]	
K02361	isochorismate synthase [EC:5.4.4.2]	
K02439	thiosulfate sulfurtransferase [EC:2.8.1.1]	
K02448	nitric oxide reductase NorD protein	
K02488	two-component system, cell cycle response regulator [EC:2.7.7.65]	
K02492	glutamyl-tRNA reductase [EC:1.2.1.70]	
