environment	category	r_squared
Plants	R05137	0.1646891804523722
Plants	R05218	0.1705209126119683
Plants	R05627	0.0540157037667998
Plants	R05636	0.0703523616491322
Plants	R05706	0.1725317870158979
Plants	R05790	0.1625445440466723
Plants	R05884	0.1281849698895634
Plants	R06514	0.0611052803516057
Plants	R07234	0.1765949002802778
Plants	R07290	0.0854420578101853
Plants	R07324	0.2966287309026556
Plants	R07359	0.1736889029071752
Plants	R07606	0.0969903991660975
Plants	R08689	0.1204151023386876
Plants	R08856	0.0692921749217824
Plants	R08991	0.0708916180408669
Mammals	R00036	0.0537813144970272
Mammals	R00090	0.1499171326808882
Mammals	R00199	0.0590217263251258
Mammals	R00214	0.1351079202433913
Mammals	R00216	0.2032223502070013
Mammals	R00217	0.158838496120104
Mammals	R00227	0.1539748628921045
Mammals	R00251	0.15429068160586
Mammals	R00253	0.3225247809307556
Mammals	R00289	0.084781501899372
Mammals	R00412	0.2157079344495508
Mammals	R00424	0.0566189899492552
Mammals	R00451	0.0878495181530998
Mammals	R00472	0.1197029944351724
Mammals	R00494	0.0952463193157332
Mammals	R00519	0.0523450881309556
Mammals	R00586	0.0997775356619607
Mammals	R00630	0.1864549990505031
Mammals	R00768	0.0851905914017747
Mammals	R00888	0.2229752812399099
Mammals	R00894	0.3030552235974296
Mammals	R00944	0.1538572598677705
Mammals	R01056	0.0724065729033824
Mammals	R01082	0.0638635269508997
Mammals	R01150	0.0989595318921559
Mammals	R01183	0.1330785715313788
Mammals	R01213	0.2132465115091322
Mammals	R01334	0.151717189058478
Mammals	R01450	0.055253866919662
Mammals	R01516	0.1004593470181052
Mammals	R01688	0.0513116068230158
Mammals	R01717	0.1130514389895909
Mammals	R01737	0.0621582797678669
Mammals	R01826	0.0757962965351547
Mammals	R01931	0.3201060157441747
Mammals	R02302	0.0645041720209841
Mammals	R02328	0.1088274415773746
Mammals	R02422	0.246471781503697
Mammals	R02437	0.0883582582701673
Mammals	R02472	0.0609901377445414
Mammals	R02722	0.0746212535168123
Mammals	R02782	0.074424555100009
Mammals	R02864	0.2510314294803424
Mammals	R03165	0.1007270114289349
Mammals	R03220	0.4169058764377295
Mammals	R03222	0.1137882772154332
Mammals	R03254	0.1283184916555955
Mammals	R03348	0.1644959857869148
Mammals	R03460	0.0503190227737878
Mammals	R03532	0.3752110509167555
Mammals	R03947	0.2206260148483223
Mammals	R04152	0.2582021870765248
Mammals	R04209	0.0513697011457592
Mammals	R04420	0.1101963943995097
Mammals	R04449	0.0532620337291247
Mammals	R05227	0.0587962153728289
Mammals	R05606	0.0575319683122749
Mammals	R05608	0.072200335409818
Mammals	R05627	0.1301645385069301
Mammals	R05850	0.1025612640573595
Mammals	R06513	0.0619140113640171
Mammals	R07234	0.1639053730622693
Mammals	R08057	0.072182183071636
Mammals	R09541	0.3390514527516943
Mammals	R09662	0.3952532878332443
Food production	R00036	0.0722963336439738
Food production	R00104	0.0781025101124291
Food production	R00178	0.2687188465362103
Food production	R00214	0.0631276062711519
Food production	R00216	0.2361378588431993
Food production	R00217	0.3857089886625168
Food production	R00253	0.2571601938107947
Food production	R00401	0.0672916739354501
Food production	R00412	0.1170145064433154
Food production	R00424	0.0918559515489886
Food production	R00425	0.2929085127478144
Food production	R00494	0.260392619512421
Food production	R00586	0.2512186737256088
Food production	R00604	0.4075454345941126
Food production	R00630	0.1907981871693678
Food production	R00847	0.0619513158420058
Food production	R00856	0.0753923180424903
Food production	R00888	0.2167674234779995
Food production	R00894	0.0736543886563488
Food production	R00944	0.4483939478578993
Food production	R01012	0.1121460543054996
Food production	R01049	0.132695599142948
Food production	R01135	0.0518158973835174
Food production	R01150	0.1313655540484426
Food production	R01213	0.063399005739313
Food production	R01291	0.3167505475508478
Food production	R01364	0.0864686548578199
Food production	R01450	0.2122099603396784
Food production	R01715	0.1361729651171701
Food production	R01716	0.071108420718802
Food production	R01717	0.0961201305384342
Food production	R01737	0.0772177076650302
Food production	R01777	0.0540503231965816
Food production	R01801	0.1847427421873956
Food production	R01931	0.3581267328890007
Food production	R01993	0.2074639613966008
Food production	R02272	0.0697811439144339
Food production	R02292	0.1698068502395101
Food production	R02328	0.076709399560786
Food production	R02413	0.0971757744715527
Food production	R02422	0.2240435880372964
Food production	R02472	0.1679261049341499
Food production	R02722	0.0543058819546663
Food production	R02735	0.0726980470075218
Food production	R02782	0.0958704448643293
Food production	R02914	0.1600727959336478
Food production	R03013	0.0641152955047134
Food production	R03220	0.0560575360775025
Food production	R03254	0.1008664999264864
Food production	R03459	0.0816619688861119
Food production	R03471	0.1793841892679504
Food production	R03503	0.1388711926953549
Food production	R03509	0.0508232337412942
Food production	R03532	0.3043030759274455
Food production	R03648	0.0680306286076759
Food production	R04143	0.5858480042795845
Food production	R04152	0.1467202922916769
Food production	R04420	0.1643964164667817
Food production	R04449	0.1023581261970282
Food production	R04463	0.2949882212641552
Food production	R04591	0.0790199013400649
Food production	R04734	0.2118484584613444
Food production	R05227	0.1153442372257274
Food production	R05606	0.4344177626726961
Food production	R05627	0.0915980187340756
Food production	R05688	0.0872913167528279
Food production	R05884	0.0644934313761751
Food production	R06513	0.0721562329097468
Food production	R06530	0.1008190138774638
Food production	R06601	0.0786964155335046
Food production	R07359	0.0769050700240444
Food production	R07607	0.1458410584290531
Food production	R08057	0.2929536685700996
Food production	R08991	0.2303810863734033
Food production	R09541	0.1597872361290041
Wastewater	R00090	0.4592698833746957
Wastewater	R00114	0.1700780487412385
Wastewater	R00206	0.096487153335645
Wastewater	R00217	0.4091173200574312
Wastewater	R00251	0.0640824318598908
Wastewater	R00253	0.0564309718523666
Wastewater	R00289	0.1898116275568289
Wastewater	R00310	0.0802060024591564
Wastewater	R00341	0.1944393481546505
Wastewater	R00412	0.060788502870234
Wastewater	R00424	0.1063417102500895
Wastewater	R00479	0.0541988644627148
Wastewater	R00494	0.1032885622488678
Wastewater	R00524	0.0858493608827714
Wastewater	R00525	0.0754521956677853
Wastewater	R00566	0.08689925806121
Wastewater	R00586	0.1136860263899748
Wastewater	R00630	0.1767884767256925
Wastewater	R00747	0.0513056964938672
Wastewater	R00750	0.0863785568021381
Wastewater	R00768	0.0519981034133595
Wastewater	R00774	0.1725634822513957
Wastewater	R00847	0.0543432813059637
Wastewater	R00888	0.0984163673548514
Wastewater	R00894	0.1330289665179963
Wastewater	R00931	0.0818340710450894
Wastewater	R00944	0.0649775714657129
Wastewater	R00955	0.3625371561229467
Wastewater	R01012	0.1980772363410895
Wastewater	R01056	0.0604781317604365
Wastewater	R01073	0.0899773086399237
Wastewater	R01135	0.1048312781254526
Wastewater	R01157	0.1428317450824677
Wastewater	R01213	0.091172765957657
Wastewater	R01334	0.064888066612886
Wastewater	R01361	0.3260023970459659
Wastewater	R01364	0.063585398628386
Wastewater	R01450	0.2099478303969721
Wastewater	R01514	0.2349016802841038
Wastewater	R01529	0.0729983297162361
Wastewater	R01714	0.0558244741458254
Wastewater	R01724	0.1717245233393508
Wastewater	R01737	0.0864634840045724
Wastewater	R01771	0.0552541827647914
Wastewater	R01856	0.0725623258093138
Wastewater	R02016	0.1268529277077608
Wastewater	R02100	0.1051555614748931
Wastewater	R02101	0.083020584076363
Wastewater	R02285	0.1522842051140462
Wastewater	R02292	0.2007163125568518
Wastewater	R02302	0.0606055369113794
Wastewater	R02413	0.1363857258509987
Wastewater	R02472	0.143780651196812
Wastewater	R02519	0.1804803249146358
Wastewater	R02715	0.0677184974056529
Wastewater	R02914	0.06700076702834
Wastewater	R03035	0.0634988802208541
Wastewater	R03084	0.2360496531637216
Wastewater	R03220	0.192227174353935
Wastewater	R03254	0.0994728454533172
Wastewater	R03532	0.2173295173705507
Wastewater	R04150	0.2394078914348091
Wastewater	R04152	0.0908449198902221
Wastewater	R04209	0.0741205068307243
Wastewater	R04420	0.0509184327300207
Wastewater	R04424	0.0860124307544356
Wastewater	R04425	0.0999670854249981
Wastewater	R04448	0.0762469626918207
Wastewater	R04594	0.1032759334651993
Wastewater	R05218	0.1613037846236196
Wastewater	R05227	0.1500948542870129
Wastewater	R05627	0.0839569855937756
Wastewater	R05706	0.136025051028925
Wastewater	R05763	0.2810744183910292
