environment	category	r_squared
Terrestrial	K01676	0.1425560262830612
Terrestrial	K01677	0.1425560262830612
Terrestrial	K01678	0.1425560262830612
Terrestrial	K01679	0.1425560262830612
Terrestrial	K01710	0.0824614824153742
Terrestrial	K01719	0.171706964508462
Terrestrial	K01749	0.2520806086774615
Terrestrial	K01774	0.1425560262830612
Terrestrial	K01843	0.1030425648489313
Terrestrial	K01846	0.5688694597830751
Terrestrial	K01847	0.0537154323059282
Terrestrial	K01848	0.0537154323059282
Terrestrial	K01849	0.0537154323059282
Terrestrial	K01851	0.0645161965383471
Terrestrial	K01858	0.1775590514668038
Terrestrial	K01873	0.0684963322375532
Terrestrial	K01915	0.2092374592295408
Terrestrial	K01919	0.1806050567859061
Terrestrial	K01921	0.0719258010747559
Terrestrial	K01939	0.0893512396621882
Terrestrial	K01941	0.0694912618775575
Terrestrial	K02203	0.0844679174600044
Terrestrial	K02230	0.1952243278644783
Terrestrial	K02361	0.0645161965383471
Terrestrial	K02552	0.0645161965383471
Terrestrial	K02594	0.0788659199765889
Terrestrial	K03403	0.3628884627517105
Terrestrial	K03404	0.3628884627517105
Terrestrial	K03405	0.3628884627517105
Terrestrial	K03430	0.3357581709482888
Terrestrial	K03526	0.2766304429518428
Terrestrial	K03527	0.1482734800459931
Terrestrial	K03785	0.0529782793941181
Terrestrial	K03786	0.0529782793941181
Terrestrial	K03852	0.0839899820832399
Terrestrial	K03856	0.1045896862298102
Terrestrial	K03921	0.1047766924623688
Terrestrial	K03922	0.1047766924623688
Terrestrial	K06048	0.1806050567859061
Terrestrial	K06153	0.0923484905804982
Terrestrial	K07749	0.1246452550189676
Terrestrial	K09007	0.0669807646961017
Terrestrial	K09882	0.1952243278644783
Terrestrial	K09883	0.1952243278644783
Terrestrial	K10977	0.0788659199765889
Terrestrial	K11204	0.1806050567859061
Terrestrial	K11205	0.1806050567859061
Terrestrial	K11260	0.2101458255938433
Terrestrial	K11261	0.2101458255938433
Terrestrial	K12526	0.1018366203164993
Terrestrial	K13273	0.0725482159085216
Terrestrial	K13542	0.171706964508462
Terrestrial	K13543	0.171706964508462
Terrestrial	K13562	0.1092344735684366
Terrestrial	K13786	0.1746052289610887
Terrestrial	K13829	0.0763773289219463
Terrestrial	K13830	0.1586017954777382
Terrestrial	K13832	0.0641453250542049
Terrestrial	K13853	0.2041371652777565
Terrestrial	K13950	0.1135108661573626
Terrestrial	K14154	0.1003962366549775
Terrestrial	K14652	0.2146186217917975
Terrestrial	K16856	0.1458529440704599
Terrestrial	K18384	0.0988014182313907
Terrestrial	K19268	0.5688694597830751
Terrestrial	K19269	0.2454154525772856
Terrestrial	K19285	0.1092344735684366
Terrestrial	K19286	0.1092344735684366
Terrestrial	K19302	0.0923484905804982
Terrestrial	K19670	0.3996703032439207
Terrestrial	K19726	0.0990852422808822
Terrestrial	K22223	0.2454154525772856
Terrestrial	K22251	0.0520075055521641
Terrestrial	K22391	0.0669807646961017
Terrestrial	K22548	0.0988014182313907
Terrestrial	K23144	0.0554475738859818
Terrestrial	K23304	0.2115521655248676
Terrestrial	K24017	0.0619623308122094
Terrestrial	K24042	0.0802758205248083
Terrestrial	K28203	0.2454154525772856
Terrestrial	K28207	0.3276891768232612
Terrestrial	K28208	0.3276891768232612
Terrestrial	K28462	0.1132479919329175
Mammals: Human	K00005	0.1680284334282594
Mammals: Human	K00012	0.827265869438816
Mammals: Human	K00014	0.080099295543885
Mammals: Human	K00021	0.163359976885598
Mammals: Human	K00077	0.0801444351699071
Mammals: Human	K00121	0.0573190878092509
Mammals: Human	K00122	0.2292182286130401
Mammals: Human	K00123	0.2292182286130401
Mammals: Human	K00124	0.2292182286130401
Mammals: Human	K00126	0.2292182286130401
Mammals: Human	K00127	0.2292182286130401
Mammals: Human	K00133	0.0508293185455273
Mammals: Human	K00158	0.2737284204585524
Mammals: Human	K00228	0.4309357887445113
Mammals: Human	K00456	0.0845649090420894
Mammals: Human	K00564	0.1582494180581225
Mammals: Human	K00640	0.0799191387043455
Mammals: Human	K00643	0.0879601563777353
Mammals: Human	K00767	0.1028422388930857
Mammals: Human	K00787	0.2807607433710588
Mammals: Human	K00795	0.2807607433710588
Mammals: Human	K00804	0.1644056749887988
Mammals: Human	K00820	0.0734039749003307
Mammals: Human	K00928	0.0834683786001534
Mammals: Human	K00950	0.0505955497695188
Mammals: Human	K00963	0.0800555670374547
Mammals: Human	K00966	0.0775749160781105
Mammals: Human	K00971	0.0775749160781105
Mammals: Human	K01003	0.1702497064439759
Mammals: Human	K01011	0.0693373389594104
Mammals: Human	K01067	0.4617853535745518
Mammals: Human	K01089	0.0956506090209086
Mammals: Human	K01091	0.0882901695110287
Mammals: Human	K01433	0.061469683200226
Mammals: Human	K01469	0.1092073631410874
Mammals: Human	K01480	0.2401426226616958
Mammals: Human	K01497	0.1840382511722185
Mammals: Human	K01586	0.1593105621696533
Mammals: Human	K01587	0.0649587574821891
Mammals: Human	K01610	0.1142971280310521
Mammals: Human	K01635	0.1301063995420316
Mammals: Human	K01637	0.1198303059565883
Mammals: Human	K01647	0.6818284757598179
Mammals: Human	K01649	0.1612748998717962
Mammals: Human	K01664	0.0663220847615306
Mammals: Human	K01665	0.0663220847615306
Mammals: Human	K01666	0.1739129647617047
Mammals: Human	K01675	0.0673859995266894
Mammals: Human	K01676	0.0673859995266894
Mammals: Human	K01677	0.0673859995266894
Mammals: Human	K01678	0.0673859995266894
Mammals: Human	K01679	0.0673859995266894
Mammals: Human	K01684	0.1097839579412132
Mammals: Human	K01686	0.1226295091935248
Mammals: Human	K01694	0.080785677484084
Mammals: Human	K01695	0.080785677484084
Mammals: Human	K01696	0.080785677484084
Mammals: Human	K01719	0.1383528832403976
Mammals: Human	K01774	0.0673859995266894
Mammals: Human	K01775	0.0883489168009767
Mammals: Human	K01798	0.0883489168009767
Mammals: Human	K01807	0.0900042787926169
Mammals: Human	K01808	0.0900042787926169
Mammals: Human	K01819	0.1027977440159245
Mammals: Human	K01837	0.1265621034373659
Mammals: Human	K01838	0.0671088255404677
Mammals: Human	K01847	0.1158149869314946
Mammals: Human	K01848	0.1158149869314946
Mammals: Human	K01849	0.1158149869314946
Mammals: Human	K01850	0.1791491941813743
Mammals: Human	K01851	0.1825474157259825
Mammals: Human	K01907	0.1362015495818119
Mammals: Human	K01910	0.0967036218794397
Mammals: Human	K01912	0.0914088235934381
Mammals: Human	K01915	0.2358742893494769
Mammals: Human	K01919	0.3650255552446165
Mammals: Human	K01921	0.1011068452491289
Mammals: Human	K01928	0.0514777830474653
Mammals: Human	K01939	0.0761575028410672
