accession	filePath	fileType	uncompressedLengthBytes
GCF_000015785.2	GCF_000015785.2/protein.faa	PROTEIN_FASTA	1461064
GCF_000015785.2	GCF_000015785.2/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000015865.1	GCF_000015865.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	4009212
GCF_000015865.1	GCF_000015865.1/genomic.gbff	GENBANK_FLAT_FILE	9854355
GCF_000015865.1	GCF_000015865.1/GCF_000015865.1_ASM1586v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3891411
GCF_000015865.1	GCF_000015865.1/genomic.gff	GFF3	2215823
GCF_000015865.1	GCF_000015865.1/protein.faa	PROTEIN_FASTA	1297827
GCF_000015865.1	GCF_000015865.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000016545.1	GCF_000016545.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	3203301
GCF_000016545.1	GCF_000016545.1/genomic.gbff	GENBANK_FLAT_FILE	7593618
GCF_000016545.1	GCF_000016545.1/GCF_000016545.1_ASM1654v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3007482
GCF_000016545.1	GCF_000016545.1/genomic.gff	GFF3	1744764
GCF_000016545.1	GCF_000016545.1/protein.faa	PROTEIN_FASTA	1074468
GCF_000016545.1	GCF_000016545.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000016645.1	GCF_000016645.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	6514105
GCF_000016645.1	GCF_000016645.1/genomic.gbff	GENBANK_FLAT_FILE	15218803
GCF_000016645.1	GCF_000016645.1/GCF_000016645.1_ASM1664v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	6173147
GCF_000016645.1	GCF_000016645.1/genomic.gff	GFF3	3183408
GCF_000016645.1	GCF_000016645.1/protein.faa	PROTEIN_FASTA	2195053
GCF_000016645.1	GCF_000016645.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000016845.1	GCF_000016845.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	3574354
GCF_000016845.1	GCF_000016845.1/genomic.gbff	GENBANK_FLAT_FILE	8708348
GCF_000016845.1	GCF_000016845.1/GCF_000016845.1_ASM1684v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3316677
GCF_000016845.1	GCF_000016845.1/genomic.gff	GFF3	2126409
GCF_000016845.1	GCF_000016845.1/protein.faa	PROTEIN_FASTA	1052607
GCF_000016845.1	GCF_000016845.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000017245.1	GCF_000017245.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	2490122
GCF_000017245.1	GCF_000017245.1/genomic.gbff	GENBANK_FLAT_FILE	6049401
GCF_000017245.1	GCF_000017245.1/GCF_000017245.1_ASM1724v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	2348724
GCF_000017245.1	GCF_000017245.1/genomic.gff	GFF3	1394001
GCF_000017245.1	GCF_000017245.1/protein.faa	PROTEIN_FASTA	858912
GCF_000017245.1	GCF_000017245.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000017305.1	GCF_000017305.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	5362087
GCF_000017305.1	GCF_000017305.1/genomic.gbff	GENBANK_FLAT_FILE	12733875
GCF_000017305.1	GCF_000017305.1/GCF_000017305.1_ASM1730v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	5018910
GCF_000017305.1	GCF_000017305.1/genomic.gff	GFF3	2876549
GCF_000017305.1	GCF_000017305.1/protein.faa	PROTEIN_FASTA	1840333
GCF_000017305.1	GCF_000017305.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000017425.1	GCF_000017425.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	4272880
GCF_000017425.1	GCF_000017425.1/genomic.gbff	GENBANK_FLAT_FILE	10929190
GCF_000017425.1	GCF_000017425.1/GCF_000017425.1_ASM1742v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	4145481
GCF_000017425.1	GCF_000017425.1/genomic.gff	GFF3	2733095
GCF_000017425.1	GCF_000017425.1/protein.faa	PROTEIN_FASTA	1405551
GCF_000017425.1	GCF_000017425.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000017685.1	GCF_000017685.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	4397762
GCF_000017685.1	GCF_000017685.1/genomic.gbff	GENBANK_FLAT_FILE	10302508
GCF_000017685.1	GCF_000017685.1/GCF_000017685.1_ASM1768v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	4001151
GCF_000017685.1	GCF_000017685.1/genomic.gff	GFF3	2241637
GCF_000017685.1	GCF_000017685.1/protein.faa	PROTEIN_FASTA	1486991
GCF_000017685.1	GCF_000017685.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000017845.1	GCF_000017845.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	5673830
GCF_000017845.1	GCF_000017845.1/genomic.gbff	GENBANK_FLAT_FILE	13662739
GCF_000017845.1	GCF_000017845.1/GCF_000017845.1_ASM1784v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	5529117
GCF_000017845.1	GCF_000017845.1/genomic.gff	GFF3	2978846
GCF_000017845.1	GCF_000017845.1/protein.faa	PROTEIN_FASTA	1919640
GCF_000017845.1	GCF_000017845.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000018105.1	GCF_000018105.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	8460074
GCF_000018105.1	GCF_000018105.1/genomic.gbff	GENBANK_FLAT_FILE	20240282
GCF_000018105.1	GCF_000018105.1/GCF_000018105.1_ASM1810v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	8466881
GCF_000018105.1	GCF_000018105.1/genomic.gff	GFF3	4294602
GCF_000018105.1	GCF_000018105.1/protein.faa	PROTEIN_FASTA	2744231
GCF_000018105.1	GCF_000018105.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000018145.1	GCF_000018145.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	4835219
GCF_000018145.1	GCF_000018145.1/genomic.gbff	GENBANK_FLAT_FILE	11537322
