category	Z_alpha_category	Z_beta_category	n_envs_used
K12525	2.0236008954508944	1.9686146010031693	8
K12526	2.1461668760884858	2.130624536244284	8
K12657	0.9874701455874833	0.9525547201189698	7
K13069	2.3674860119192185	2.4003379317845157	7
K13243	1.2839455079711246	1.2781745533986328	7
K13244	1.2839455079711246	1.2781745533986328	7
K13245	1.2839455079711246	1.2781745533986328	7
K13246	1.2839455079711246	1.2781745533986328	7
K13421	1.7306269350800898	1.7569033609519975	8
K13484	1.0025045351444448	0.9776290652000716	8
K13497	2.6259387552287214	2.5900793405149196	7
K13498	1.769000373646079	1.8234670785218685	8
K13501	1.769000373646079	1.8234670785218685	8
K13540	0.32188307636003594	0.32746555530956767	3
K13542	1.857351089626584	1.831868441741474	8
K13543	1.857351089626584	1.831868441741474	8
K13562	2.028563976515239	2.037023598704516	8
K13713	1.7342276175154245	1.682240178767528	8
K13786	1.6209368296347868	1.622162646927693	8
K13787	2.366330881838747	2.2794560689280576	5
K13789	2.366330881838747	2.2794560689280576	5
K13829	1.7008993806712882	1.6022368210760063	8
K13830	2.1256977614341586	2.0680041415354706	8
K13832	1.8471913201554775	1.769056623564984	8
K13853	2.545050838604837	2.5338673060559933	8
K13937	0.9436935236371186	0.9617781058539452	5
K13939	2.3391194054317834	2.278631630744275	8
K13940	2.3391194054317834	2.278631630744275	8
K13941	2.3391194054317834	2.278631630744275	8
K13950	1.8501133331992943	1.8750996030656937	8
K13990	0.8165361162631499	0.8329181912059636	5
K13998	1.220666466630288	1.2280671452538903	7
K14152	1.0611508269953227	1.048402314425229	8
K14153	1.4551633330250988	1.468875799772127	8
K14154	2.1684447290074575	2.1557375960844745	8
K14170	2.877362758802071	2.8681366898774425	6
K14187	2.1867480401519486	2.191001347463143	8
K14541	0.7500435344812761	0.7448461492735177	7
K14584	0.7840982562893966	0.808259258977178	3
K14652	1.9036632398209055	1.9142875907218244	8
K14656	1.9285199524159804	1.8954672336906542	2
K14727	0.581691103675372	0.5797959291561737	4
K14759	1.462367273202826	1.4410065343057537	8
K15461	1.687207965438823	1.663552051784047	7
K15789	0.6496138493092772	0.6412692448475404	4
K15792	0.40182757162851424	0.40270578541189694	4
K15918	1.3089724171319206	1.3327940289413438	8
K16011	0.31604545941292833	0.27362037185161586	5
K16047	2.228512689199652	2.202048364763268	3
K16048	2.228512689199652	2.202048364763268	3
K16171	0.9678911115503537	0.9813453208443443	6
K16371	0.561076231970945	0.5677564896704611	3
K16881	0.31604545941292833	0.27362037185161586	5
K16953	1.0941637542819211	1.0941798861590857	3
K17877	1.0999078606524693	1.126914588125254	7
K18240	0.35303004311616776	0.35112647251118706	3
K18365	1.047910816662084	1.0228251175830878	7
K18592	1.5729585525543728	1.5205139200968645	8
K18649	0.9135695068141678	0.9284040363657688	8
K18859	0.9342749403799118	0.9190410151141001	7
K18860	0.9342749403799118	0.9190410151141001	7
K18911	0.9454943988910478	0.9254675844862117	3
K19268	1.9246286970839324	1.8675222680454462	3
K19269	2.2218173058504074	2.237682855182471	6
K19285	2.028563976515239	2.037023598704516	8
K19286	2.028563976515239	2.037023598704516	8
K19302	2.0893377084376348	1.9821688311808723	8
K19562	1.8060876224808466	1.7518136929747834	8
K19670	1.4861299599008677	1.4690911668403588	3
K19712	0.8115001858189457	0.8088335767748599	3
K19726	2.1327292283725927	2.1148655604083784	8
K19964	1.0391814914196755	1.0176198517030288	8
K20023	0.5791735232372716	0.5657318098879617	5
K20246	0.9454943988910478	0.9254675844862117	3
K21219	1.4551633330250988	1.468875799772127	8
K21220	1.3907730246889671	1.415058769931248	8
K21456	1.183191074893105	1.2091333733222214	3
K22223	2.2218173058504074	2.237682855182471	6
K22251	1.0343380747926185	0.9987689117782194	6
K22305	1.0049882009239937	0.949602420732164	4
K22316	1.5892634097854788	1.588336611442503	5
K22373	1.3210869043697842	1.2983885430101887	7
K22391	1.5633130412182819	1.532257032753436	8
K22515	1.719197090938683	1.6587337909306905	8
K22920	0.9080641199039524	0.9114626600611151	8
K22949	1.9285199524159804	1.8954672336906542	2
K23123	1.4550306675415141	1.4409996898153312	8
K23124	1.4550306675415141	1.4409996898153312	8
K23144	1.1521219784225167	1.1017453033804445	8
K23264	3.2853377177062817	3.290770653297939	8
K23265	3.2853377177062817	3.290770653297939	8
K23269	3.2853377177062817	3.290770653297939	8
K23270	3.2853377177062817	3.290770653297939	8
K23304	2.464778747005433	2.414054095682764	8
K23987	1.1889150153986703	1.1917471685948657	8
